Unnamed: 0,Rank,Company,Symbol,Weight,Price,Change,% Change,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
230,231,Otis Worldwide Corporation,OTIS,0.0008,97.0,-0.32,(-0.33%),Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,"Farmington, Connecticut",2020-04-03,1781335,"2020 (1853, United Technologies spinoff)"
231,232,Valero Energy Corporation,VLO,0.0008,122.93,1.2,(0.99%),Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",2002-12-20,1035002,1980
232,233,Pg&e Corporation,PCG,0.0008,17.13,-0.05,(-0.29%),PG&E Corporation,Utilities,Multi-Utilities,"Oakland, California",2022-10-03,1004980,1905
233,234,"Consolidated Edison, Inc.",ED,0.0008,107.68,-0.07,(-0.06%),Consolidated Edison,Utilities,Multi-Utilities,"New York City, New York",1957-03-04,1047862,1823
234,235,"Cbre Group, Inc.",CBRE,0.0008,126.59,1.06,(0.84%),CBRE Group,Real Estate,Real Estate Services,"Dallas, Texas",2006-11-10,1138118,1906
235,236,Electronic Arts Inc,EA,0.0008,153.3,-2.36,(-1.52%),Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",2002-07-22,712515,1982
236,237,"The Hartford Insurance Group, Inc.",HIG,0.0008,127.52,-0.69,(-0.54%),Hartford (The),Financials,Property & Casualty Insurance,"Hartford, Connecticut",1957-03-04,874766,1810
237,238,Take-Two Interactive Software Inc,TTWO,0.0008,226.55,1.1,(0.49%),Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York City, New York",2018-03-19,946581,1993
238,239,"Prudential Financial, Inc.",PRU,0.0008,103.59,-0.02,(-0.02%),Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey",2002-07-22,1137774,1875
239,240,Hess Corporation,HES,0.0008,132.37,1.49,(1.14%),Hess Corporation,Energy,Integrated Oil & Gas,"New York City, New York",1984-05-31,4447,1919
240,241,Baker Hughes Company,BKR,0.0007,36.49,0.24,(0.66%),Baker Hughes,Energy,Oil & Gas Equipment & Services,"Houston, Texas",2017-07-07,1701605,2017
241,242,Entergy Corporation,ETR,0.0007,82.92,-0.39,(-0.47%),Entergy,Utilities,Electric Utilities,"New Orleans, Louisiana",1957-03-04,65984,1913
242,243,Resmed Inc.,RMD,0.0007,245.04,1.95,(0.80%),ResMed,Health Care,Health Care Equipment,"San Diego, California",2017-07-26,943819,1989
243,244,"Cardinal Health, Inc.",CAH,0.0007,148.22,0.95,(0.65%),Cardinal Health,Health Care,Health Care Distributors,"Dublin, Ohio",1997-05-27,721371,1971
244,245,Vulcan Materials Company,VMC,0.0007,269.63,1.21,(0.45%),Vulcan Materials Company,Materials,Construction Materials,"Birmingham, Alabama",1999-06-30,1396009,1909
245,246,Arch Capital Group Ltd,ACGL,0.0007,94.54,-0.02,(-0.02%),Arch Capital Group,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",2022-11-01,947484,1995
246,247,D.R. Horton Inc.,DHI,0.0007,122.03,-1.81,(-1.46%),D. R. Horton,Consumer Discretionary,Homebuilding,"Arlington, Texas",2005-06-22,882184,1978
247,248,Sysco Corporation,SYY,0.0007,70.75,-0.85,(-1.19%),Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,1969
